#{"t_start": 1754642096.1582983, "env_id": "None"}
r,l,t,total_reward,shape,ttc,step_cost,jerk,crash,goal,off_road_hard_event,off_road_soft_penalty
-12.720423,29,1.18848,-53.11045965820932,-3.0104596582093226,0.0,0.0,0.0,0.0,0.0,1,-50.1
-4.963681,13,1.206206,-54.432916452579725,-4.432916452579727,0.0,0.0,0.0,0.0,0.0,1,0.0
-4.697208,15,1.226246,-54.972814992229075,-4.872814992229074,0.0,0.0,0.0,0.0,0.0,1,-50.1
-4.5375605,21,1.253947,-52.69063715496927,-2.690637154969264,0.0,0.0,0.0,0.0,0.0,1,0.0
-5.0017495,38,1.300129,-53.273249888428325,-3.0732498884283306,0.0,0.0,0.0,0.0,0.0,1,-50.2
-5.371747,33,1.33988,-55.78374941059886,-5.683749410598857,0.0,0.0,0.0,0.0,0.0,1,-0.1
-5.7147965,68,1.41925,-53.395032310624345,-3.295032310624342,0.0,0.0,0.0,0.0,0.0,1,-0.1
-5.5789394,23,1.448994,-52.79825427099491,-2.7982542709949074,0.0,0.0,0.0,0.0,0.0,1,0.0
-5.603227,16,1.471354,-54.368281792481476,-4.268281792481476,0.0,0.0,0.0,0.0,0.0,1,-50.1
-5.601124,15,1.491464,-55.84467168289279,-5.744671682892786,0.0,0.0,0.0,0.0,0.0,1,-50.1
-5.4282928,21,1.519001,-54.72947248936947,-4.629472489369469,0.0,0.0,0.0,0.0,0.0,1,-50.1
-5.314173,35,1.560986,-52.88768167191096,-2.787681671910957,0.0,0.0,0.0,0.0,0.0,1,-50.1
-5.1218777,16,1.58176,-51.56990389252522,-1.3699038925252163,0.0,0.0,0.0,0.0,0.0,1,-0.2
-5.3061247,18,1.604278,-54.01579140196679,-4.015791401966782,0.0,0.0,0.0,0.0,0.0,1,0.0
-5.444183,18,1.628148,-56.07667742894069,-5.97667742894069,0.0,0.0,0.0,0.0,0.0,1,-50.1
-5.217246,26,1.66093,-53.72908227721572,-3.629082277215714,0.0,0.0,0.0,0.0,0.0,1,-0.1
-5.016388,17,1.682399,-52.05136008336991,-2.051360083369909,0.0,0.0,0.0,0.0,0.0,1,0.0
-5.260797,40,1.728281,-53.72249786599208,-3.7224978659920787,0.0,0.0,0.0,0.0,0.0,1,0.0
-5.053224,5,1.736558,-52.596950705679,-2.5969507056789993,0.0,0.0,0.0,0.0,0.0,1,0.0
-5.173629,71,1.814328,-51.57288441485963,-1.5728844148596277,0.0,0.0,0.0,0.0,0.0,1,0.0
